"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ryze","Top",2,"0.9%","41.3%","67.1%","0%","100%",3,4,2,1.3,"55.6%","15.4%","0%",197,-147,8.5,9.7,"29.8%",444,"30.3%","26.4%",0.5,0.19
"Samira","ADC",8,"3.8%","0.9%","4.7%","50%","50%",33,26,28,2.3,"64.9%","21.1%","13%",44,249,3.3,8.9,"28.6%",407,"24.3%","26.1%",0.38,0.23
"Sejuani","Jungle",1,"0.5%","0.0%","0.9%","0%","100%",0,1,6,6,"85.7%","7.1%","0%",341,880,15,5.5,"14.2%",247,"16.0%","15.5%",0.35,0.66
"Sejuani","Top",1,"0.5%","0.0%","0.9%","0%","100%",2,4,5,1.8,"70.0%","26.7%","100%",-460,146,-19,7.5,"25.0%",587,"26.9%","24.2%",0.29,0.19
"Senna","ADC",3,"1.4%","0.5%","1.9%","0%","67%",5,7,10,2.1,"83.3%","18.4%","67%",-292,-248,-41,4.4,"12.4%",473,"25.1%","17.7%",0.94,0.37
"Seraphine","Support",3,"1.4%","0.0%","1.4%","33%","100%",0,5,21,4.2,"75.0%","14.3%","0%",56,87,-6.7,0.9,"3.9%",150,"7.1%","9.3%",1.51,0.52
"Sett","Support",11,"5.2%","2.8%","8.0%","55%","73%",23,37,65,2.4,"54.7%","27.4%","36%",122,180,2.5,1.4,"3.4%",179,"9.8%","9.9%",1.77,0.58
"Singed","Support",1,"0.5%","0.0%","0.5%","100%","100%",1,6,8,1.5,"60.0%","35.3%","0%",-193,-239,9,0.7,"1.7%",120,"5.6%","7.2%",1.48,0.09
"Sion","Top",9,"4.2%","0.5%","4.7%","33%","67%",10,24,43,2.2,"54.6%","21.8%","0%",-363,30,-6,7,"20.8%",305,"18.7%","18.2%",0.41,0.22
"Sivir","ADC",1,"0.5%","0.0%","0.5%","100%","100%",5,2,8,6.5,"72.2%","33.3%","0%",-369,-247,-1,10.7,"35.4%",402,"20.5%","28.4%",0.46,0.51
"Sona","Support",2,"0.9%","0.0%","0.9%","50%","100%",1,4,15,4,"88.9%","14.8%","50%",48,4,4,0.6,"2.1%",142,"8.9%","9.9%",1.85,0.4
"Sylas","Middle",10,"4.7%","4.7%","9.9%","40%","90%",27,25,30,2.3,"70.4%","21.4%","30%",-198,-60,-8.5,8,"22.9%",356,"24.2%","22.2%",0.36,0.27
"Sylas","Top",1,"0.5%","4.7%","9.9%","0%","100%",0,2,2,1,"28.6%","15.4%","0%",-116,151,-3,7.6,"28.1%",202,"18.1%","21.8%",0.35,0.17
"Syndra","ADC",1,"0.5%","9.4%","19.7%","100%","100%",4,3,5,3,"52.9%","30.0%","0%",-204,102,-2,9.1,"25.9%",415,"22.1%","22.3%",0.54,0.35
"Syndra","Middle",21,"9.9%","9.4%","19.7%","48%","67%",45,54,103,2.7,"62.7%","21.0%","14%",31,-51,3.3,8.1,"23.4%",473,"26.8%","21.6%",0.49,0.19
"Tahm Kench","Support",32,"15.0%","8.5%","23.5%","47%","56%",14,92,180,2.1,"60.8%","23.5%","31%",-59,19,5.9,1.3,"2.8%",122,"7.2%","8.8%",1.68,0.26
"Talon","Jungle",2,"0.9%","0.9%","1.9%","100%","100%",4,5,14,3.6,"66.7%","35.7%","0%",303,474,15.5,7.3,"19.3%",484,"18.6%","20.4%",0.81,0.44
"Thresh","Support",30,"14.1%","12.7%","26.8%","50%","27%",17,74,237,3.4,"77.0%","24.1%","20%",-15,-80,1.5,1.1,"1.8%",84,"4.7%","8.7%",1.8,0.34
"Tristana","ADC",4,"1.9%","0.0%","1.9%","25%","100%",11,14,15,1.9,"56.5%","21.9%","0%",-865,-200,-12.8,9.9,"34.8%",380,"24.9%","26.9%",0.94,0.46
"Trundle","Jungle",9,"4.2%","0.9%","5.6%","22%","100%",18,22,35,2.4,"74.6%","19.1%","67%",-75,-205,-6.7,5,"13.6%",221,"12.9%","16.5%",0.34,0.51
"Trundle","Support",1,"0.5%","0.9%","5.6%","0%","100%",0,3,9,3,"81.8%","17.6%","0%",-303,-86,14,1,"1.7%",114,"5.6%","6.9%",2.46,0.39
"Tryndamere","Middle",3,"1.4%","39.9%","59.6%","67%","67%",11,3,9,6.7,"60.6%","13.6%","0%",213,5,3,9.9,"27.6%",236,"15.4%","25.6%",0.31,0.41
"Tryndamere","Top",39,"18.3%","39.9%","59.6%","44%","49%",100,89,147,2.8,"51.7%","19.5%","21%",32,9,0.3,9.1,"28.5%",366,"20.7%","25.0%",0.29,0.23
"Twisted Fate","Middle",20,"9.4%","83.1%","92.5%","65%","20%",37,29,122,5.5,"70.4%","14.4%","20%",144,-107,-8.5,8.2,"23.5%",360,"20.8%","24.1%",0.3,0.31
"Udyr","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",0,1,1,1,"100.0%","7.1%","100%",173,-67,0,7.1,"18.1%",205,"12.4%","20.8%",0.24,0.56
"Varus","ADC",8,"3.8%","1.4%","5.2%","38%","88%",18,19,39,3,"69.5%","20.2%","25%",-77,171,0.8,9.2,"30.3%",493,"29.1%","25.0%",0.7,0.42
"Vayne","ADC",2,"0.9%","0.0%","0.9%","100%","100%",9,1,9,18,"60.0%","8.3%","0%",13,-126,-0.5,10.4,"32.8%",377,"18.9%","25.8%",0.53,0.31
"Veigar","Middle",9,"4.2%","2.8%","7.0%","56%","100%",36,14,41,5.5,"68.1%","16.1%","33%",212,84,2.2,8.9,"25.7%",427,"25.6%","24.2%",0.67,0.25
"Vex","Middle",30,"14.1%","11.7%","25.8%","50%","77%",116,63,160,4.4,"71.1%","17.8%","23%",20,-48,1.5,7.9,"22.4%",487,"25.5%","22.7%",0.69,0.33
"Vi","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",1,2,4,2.5,"83.3%","14.3%","0%",-810,-1246,-31,5.9,"16.7%",224,"14.8%","19.4%",0.41,0.64
"Viego","Jungle",42,"19.7%","7.5%","27.2%","52%","86%",136,91,207,3.8,"67.5%","19.0%","43%",73,67,1.4,6,"15.2%",231,"13.7%","18.5%",0.37,0.46
"Viktor","ADC",2,"0.9%","9.9%","33.8%","0%","50%",7,3,2,3,"60.0%","9.4%","0%",-72,237,-3.5,9.2,"29.9%",593,"34.2%","28.7%",0.46,0.25
"Viktor","Middle",49,"23.0%","9.9%","33.8%","47%","39%",133,102,237,3.6,"65.3%","18.1%","10%",-3,59,2.7,8.9,"26.2%",590,"30.7%","23.9%",0.47,0.24
"Vladimir","Top",1,"0.5%","0.0%","0.5%","0%","100%",1,4,6,1.8,"70.0%","26.7%","0%",-462,-434,-13,7.9,"25.8%",352,"20.8%","21.3%",0.3,0.14
"Volibear","Jungle",17,"8.0%","6.1%","14.6%","53%","65%",35,42,84,2.8,"66.5%","21.3%","12%",40,47,4.1,5.6,"12.4%",225,"13.1%","17.0%",0.37,0.47
"Volibear","Top",1,"0.5%","6.1%","14.6%","0%","100%",1,2,3,2,"40.0%","10.0%","0%",229,140,4,8.3,"25.3%",605,"37.1%","22.5%",0.25,0.11
"Xayah","ADC",23,"10.8%","1.4%","12.2%","61%","68%",76,29,113,6.5,"67.0%","12.4%","39%",63,103,-0.9,10,"32.6%",585,"30.5%","27.4%",0.47,0.32
"Xin Zhao","Jungle",103,"48.4%","28.2%","76.5%","50%","42%",218,264,595,3.1,"66.4%","21.9%","43%",-107,-81,-3.5,5.7,"14.3%",253,"14.1%","16.9%",0.4,0.48
"Yasuo","Middle",1,"0.5%","0.9%","1.9%","0%","100%",2,0,3,5,"62.5%","0.0%","0%",379,-87,18,10,"32.5%",244,"15.0%","27.5%",0.44,0.28
"Yasuo","Top",1,"0.5%","0.9%","1.9%","0%","100%",3,4,1,1,"44.4%","30.8%","0%",-460,-498,-8,7.5,"23.6%",226,"11.7%","23.4%",0.43,0.26
"Yone","Middle",3,"1.4%","1.4%","2.8%","67%","100%",10,5,13,4.6,"53.5%","15.6%","33%",20,17,-2,10.1,"29.8%",497,"24.6%","25.3%",0.18,0.4
"Yuumi","Support",29,"13.6%","20.7%","34.3%","41%","38%",23,52,251,5.3,"77.6%","15.0%","14%",-197,14,-5.4,0.4,"1.3%",271,"15.9%","9.0%",1.4,0.19
"Zac","Support",1,"0.5%","0.0%","0.5%","100%","100%",2,1,6,8,"36.4%","25.0%","0%",63,369,0,1.7,"6.6%",216,"9.3%","8.8%",1.01,0.2
"Zeri","ADC",29,"13.6%","50.2%","63.8%","62%","7%",109,48,145,5.3,"70.2%","15.6%","14%",-39,1,-2.4,10.2,"32.9%",499,"26.7%","27.2%",0.49,0.49
"Ziggs","ADC",4,"1.9%","2.8%","4.7%","50%","75%",7,6,21,4.7,"56.0%","12.5%","0%",4,127,-4,9,"28.4%",545,"29.4%","23.0%",0.39,0.19
"Zilean","Middle",3,"1.4%","0.9%","4.2%","67%","100%",2,3,24,8.7,"65.0%","11.1%","0%",-376,-39,-6.3,7.8,"22.1%",240,"13.1%","19.0%",0.57,0.29
"Zilean","Support",4,"1.9%","0.9%","4.2%","50%","100%",2,9,27,3.2,"85.3%","18.8%","0%",-290,291,4.8,1.3,"2.8%",101,"6.0%","9.6%",1.6,0.37
"Zoe","Middle",10,"4.7%","3.8%","8.5%","50%","70%",20,13,30,3.8,"54.9%","13.8%","30%",-142,-140,-6.6,7.9,"21.4%",419,"24.9%","21.4%",0.46,0.27
